name,author,genres,description,price,qty,image,cloud_url
Project Hail Mary,Andy Weir,Science Fiction,"Ryland Grace is the sole survivor on a desperate, last-chance mission?and if he fails, humanity and the earth itself will perish.

Except that right now, he doesn?t know that. He can?t even remember his own name, let alone the nature of his assignment or how to complete it.

All he knows is that he?s been asleep for a very, very long time. And he?s just been awakened to find himself millions of miles from home, with nothing but two corpses for company.

His crewmates dead, his memories fuzzily returning, Ryland realizes that an impossible task now confronts him. Hurtling through space on this tiny ship, it?s up to him to puzzle out an impossible scientific mystery?and conquer an extinction-level threat to our species.

And with the clock ticking down and the nearest human being light-years away, he?s got to do it all alone.

Or does he?",200,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1597695864i/54493401.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669920/ebooks/iyqzuba6nfrermz2gd2c.jpg
Klara and the Sun,Kazuo Ishiguro,Science Fiction,"From her place in the store, Klara, an Artificial Friend with outstanding observational qualities, watches carefully the behavior of those who come in to browse, and of those who pass on the street outside. She remains hopeful that a customer will soon choose her, but when the possibility emerges that her circumstances may change forever, Klara is warned not to invest too much in the promises of humans.

In Klara and the Sun, Kazuo Ishiguro looks at our rapidly changing modern world through the eyes of an unforgettable narrator to explore a fundamental question: what does it mean to love?",400,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1603206535i/54120408.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669921/ebooks/m2d0s8zych5vrlmgfxpw.jpg
The Ministry for the Future,Kim Stanley Robinson,Science Fiction,"Established in 2025, the purpose of the new organization was simple: To advocate for the world's future generations and to protect all living creatures, present and future. It soon became known as the Ministry for the Future, and this is its story.

From legendary science fiction author Kim Stanley Robinson comes a vision of climate change unlike any ever imagined.

Told entirely through fictional eye-witness accounts, The Ministry for the Future is a masterpiece of the imagination, the story of how climate change will affect us all over the decades to come.

Its setting is not a desolate, post-apocalyptic world, but a future that is almost upon us?and in which we might just overcome the extraordinary challenges we face.

It is a novel both immediate and impactful, desperate and hopeful in equal measure, and it is one of the most powerful and original books on climate change ever written.",300,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1668935201i/50998056.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669924/ebooks/zywmod9gtfbtytenyvvj.jpg
A Desolation Called Peace,Arkady Martine,Science Fiction,"An alien armada lurks on the edges of Teixcalaanli space. No one can communicate with it, no one can destroy it, and Fleet Captain Nine Hibiscus is running out of options.

In a desperate attempt at diplomacy with the mysterious invaders, the fleet captain has sent for a diplomatic envoy. Now Mahit Dzmare and Three Seagrass?still reeling from the recent upheaval in the Empire?face the impossible task of trying to communicate with a hostile entity.

Whether they succeed or fail could change the fate of Teixcalaan forever.",300,70,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1654565596i/45154547.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669929/ebooks/ny67f1fsw8qftkbuaulg.jpg
The Space Between Worlds,Micaiah Johnson,Science Fiction,"An outsider who can travel between worlds discovers a secret that threatens her new home and her fragile place in it, in a stunning sci-fi debut that?s both a cross-dimensional adventure and a powerful examination of identity, privilege, and belonging.

Multiverse travel is finally possible, but there?s just one catch: No one can visit a world where their counterpart is still alive. Enter Cara, whose parallel selves happen to be exceptionally good at dying?from disease, turf wars, or vendettas they couldn?t outrun. Cara?s life has been cut short on 372 worlds in total.

On this Earth, however, Cara has survived. Identified as an outlier and therefore a perfect candidate for multiverse travel, Cara is plucked from the dirt of the wastelands. Now she has a nice apartment on the lower levels of the wealthy and walled-off Wiley City. She works?and shamelessly flirts?with her enticing yet aloof handler, Dell, as the two women collect off-world data for the Eldridge Institute. She even occasionally leaves the city to visit her family in the wastes, though she struggles to feel at home in either place. So long as she can keep her head down and avoid trouble, Cara is on a sure path to citizenship and security.

But trouble finds Cara when one of her eight remaining doppelg„ngers dies under mysterious circumstances, plunging her into a new world with an old secret. What she discovers will connect her past and her future in ways she could have never imagined?and reveal her own role in a plot that endangers not just her world, but the entire multiverse.",200,75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1585293595l/43301353.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669930/ebooks/nur7fymj9gc9nicw6jis.jpg
Leviathan Falls,James S.A. Corey,Science Fiction,"The Laconian Empire has fallen, setting the thirteen hundred solar systems free from the rule of Winston Duarte. But the ancient enemy that killed the gate builders is awake, and the war against our universe has begun again.

In the dead system of Adro, Elvi Okoye leads a desperate scientific mission to understand what the gate builders were and what destroyed them, even if it means compromising herself and the half-alien children who bear the weight of her investigation. Through the wide-flung systems of humanity, Colonel Aliana Tanaka hunts for Duarte?s missing daughter. . . and the shattered emperor himself. And on the Rocinante, James Holden and his crew struggle to build a future for humanity out of the shards and ruins of all that has come before.

As nearly unimaginable forces prepare to annihilate all human life, Holden and a group of unlikely allies discover a last, desperate chance to unite all of humanity, with the promise of a vast galactic civilization free from wars, factions, lies, and secrets if they win.

But the price of victory may be worse than the cost of defeat.",200,70,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1600283641i/28335699.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669935/ebooks/tswnkb1qjfrxfpjqayzs.png
Remote Control,Nnedi Okorafor,Science Fiction,"The new book by Nebula and Hugo Award-winner, Nnedi Okorafor.

""She?s the adopted daughter of the Angel of Death. Beware of her. Mind her. Death guards her like one of its own.""

The day Fatima forgot her name, Death paid a visit. From hereon in she would be known as Sankofa??--a name that meant nothing to anyone but her, the only tie to her family and her past.

Her touch is death, and with a glance a town can fall. And she walks--alone, except for her fox companion--searching for the object that came from the sky and gave itself to her when the meteors fell and when she was yet unchanged; searching for answers.

But is there a greater purpose for Sankofa, now that Death is her constant companion?",300,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1587580886i/34215764.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669936/ebooks/m7r3vrchzqaocykzzb3p.jpg
Termination Shock,Neal Stephenson,Science Fiction,"A visionary technothriller about climate change.

Neal Stephenson's sweeping, prescient new novel transports readers to a near-future world where the greenhouse effect has inexorably resulted in a whirling-dervish troposphere of superstorms, rising sea levels, global flooding, merciless heat waves, and virulent, deadly pandemics.

One man has a Big Idea for reversing global warming, a master plan perhaps best described as ""elemental."" But will it work? And just as important, what are the consequences for the planet and all of humanity should it be applied?

Ranging from the Texas heartland to the Dutch royal palace in the Hague, from the snow-capped peaks of the Himalayas to the sunbaked Chihuahuan Desert, Termination Shock brings together a disparate group of characters from different cultures and continents who grapple with the real-life repercussions of global warming. Ultimately, it asks the question: Might the cure be worse than the disease?",300,70,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1621245328i/57094295.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669938/ebooks/xarp8cfakrawk7t5wkzy.jpg
Shards of Earth,Adrian Tchaikovsky,Science Fiction,"The Arthur C. Clarke award-winning author of Children of Time brings us an extraordinary space opera about humanity on the brink of extinction, and how one man's discovery will save or destroy us all.

The war is over. Its heroes forgotten. Until one chance discovery . . .

Idris has neither aged nor slept since they remade him in the war. And one of humanity's heroes now scrapes by on a freelance salvage vessel, to avoid the attention of greater powers.

After earth was destroyed, mankind created a fighting elite to save their species, enhanced humans such as Idris. In the silence of space they could communicate, mind-to-mind, with the enemy. Then their alien aggressors, the Architects, simply disappeared?and Idris and his kind became obsolete.

Now, fifty years later, Idris and his crew have discovered something strange abandoned in space. It's clearly the work of the Architects?but are they returning? And if so, why? Hunted by gangsters, cults and governments, Idris and his crew race across the galaxy hunting for answers. For they now possess something of incalculable value, that many would kill to obtain.",400,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1724827773i/55278507.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669940/ebooks/fipmeroqdzxiwkitvuy2.jpg
Light from Uncommon Stars,Ryka Aoki,Science Fiction,"A defiantly joyful adventure set in California's San Gabriel Valley, with cursed violins, Faustian bargains, and queer alien courtship over fresh-made donuts.

Shizuka Satomi made a deal with the to escape damnation, she must entice seven other violin prodigies to trade their souls for success. She has already delivered six. When Katrina Nguyen, a young transgender runaway, catches Shizuka's ear with her wild talent, Shizuka can almost feel the curse lifting. She's found her final candidate. But in a donut shop off a bustling highway in the San Gabriel Valley, Shizuka meets Lan Tran, retired starship captain, interstellar refugee, and mother of four. Shizuka doesn't have time for crushes or coffee dates, what with her very soul on the line, but Lan's kind smile and eyes like stars might just redefine a soul's worth. And maybe something as small as a warm donut is powerful enough to break a curse as vast as the California coastline. As the lives of these three women become entangled by chance and fate, a story of magic, identity, curses, and hope begins, and a family worth crossing the universe for is found.
At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",200,75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1626721795i/56179360.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669941/ebooks/xv06aevjugzpa6otsybs.jpg
This Could Be Us,Kennedy Ryan,Romance,"Soledad Barnes has her life all planned out. Because, of course, she does. She plans everything. She designs everything. She fixes everything. She?s a domestic goddess who's never met a party she couldn't host or a charge she couldn't lead. The one with all the answers and the perfect vinaigrette for that summer salad. But none of her varied talents can save her when catastrophe strikes, and the life she built with the man who was supposed to be her forever, goes poof in a cloud of betrayal and disillusion.

But there is no time to pout or sulk, or even grieve the life she lost. She's too busy keeping a roof over her daughters' heads and food on the table. And in the process of saving them all, Soledad rediscovers herself. From the ashes of a life burned to the ground, something bold and new can rise.

But then an unlikely man enters the picture?the forbidden one, the one she shouldn't want but can't seem to resist. She's lost it all before and refuses to repeat her mistakes. Can she trust him? Can she trust herself?

After all she's lost . . .and found . . .can she be brave enough to make room for what could be?",400,70,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1699034863i/182762109.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669942/ebooks/wmienkqdyy1aoxx730pf.jpg
"Rick and Morty, Vol. 1","Zac Gorman,ÿCJ Cannon",Comedy,"""Rick and Morty is fun and hilarious and all those things that you really want from a comic..."" Newsarama.

The hit comic book series based on Dan Harmon and Justin Roiland's hilarious [adult swim] animated show Rick & Morty is now available in its first collection! Join the excitement as depraved genius Rick Sanchez embarks on insane adventures with his awkward grandson Morty across the universe and across time. Caught in the crossfire are his teenage granddaughter Summer, his veterinary surgeon daughter Beth, and his hapless son-in-law Jerry.

This collection features the first five issues of the comic book series, including ""The Wubba Lubba Dub Dub of Wall Street,"" ""Mort-Balls!"" and more, along with hilarious mini-comics showcasing the whole family.",300,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1438608487i/26030214.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669944/ebooks/azeecidjq5zkioahgshn.jpg
"Rick and Morty, Vol. 2","Zac Gorman,ÿC.J. Cannon,ÿAndrew MacLean",Comedy,"The hit comic book series based on Dan Harmon and Justin Roiland's hilarious [adult swim] animated show RICK & MORTY continues!

Catch up on the adventures of degenerate genius Rick Sanchez and his bumbling grandson Morty as they explore the outer reaches of time, space, and decency.

This collection features issues #6-10 of the comic book series, including the ""Ball Fondlers Special"" by guest artist Andrew MacLean, ""A Very Special Blumbus,"" illustrated by series writer Zac Gorman, and a cyberpunk adventure across the multiverse. Plus: bonus mini-comics showcasing fan-favorite characters!""",300,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1454523971i/28762588.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669945/ebooks/qaiqul9s9o26ghmk1za4.jpg
Born a Crime: Stories From a South African Childhood,Trevor Noah,Comedy,"The memoir of one man?s coming-of-age, set during the twilight of apartheid and the tumultuous days of freedom that followed.

Trevor Noah?s unlikely path from apartheid South Africa to the desk of The Daily Show began with a criminal act: his birth. Trevor was born to a white Swiss father and a black Xhosa mother at a time when such a union was punishable by five years in prison. Living proof of his parents? indiscretion, Trevor was kept mostly indoors for the earliest years of his life, bound by the extreme and often absurd measures his mother took to hide him from a government that could, at any moment, steal him away. Finally liberated by the end of South Africa?s tyrannical white rule, Trevor and his mother set forth on a grand adventure, living openly and freely and embracing the opportunities won by a centuries-long struggle.

Born a Crime is the story of a mischievous young boy who grows into a restless young man as he struggles to find himself in a world where he was never supposed to exist. It is also the story of that young man?s relationship with his fearless, rebellious, and fervently religious mother?his teammate, a woman determined to save her son from the cycle of poverty, violence, and abuse that would ultimately threaten her own life.",400,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1473867911i/29780253.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669955/ebooks/n38ozdkw4hljsfcpw32w.jpg
Bossypants,Tina Fey,Comedy,"Before Liz Lemon, before ""Weekend Update,"" before ""Sarah Palin,"" Tina Fey was just a young girl with a dream: a recurring stress dream that she was being chased through a local airport by her middle-school gym teacher. She also had a dream that one day she would be a comedian on TV.

She has seen both these dreams come true.

At last, Tina Fey's story can be told. From her youthful days as a vicious nerd to her tour of duty on Saturday Night Live; from her passionately halfhearted pursuit of physical beauty to her life as a mother eating things off the floor; from her one-sided college romance to her nearly fatal honeymoon?from the beginning of this paragraph to this final sentence.

Tina Fey reveals all, and proves what we've all suspected: you're no one until someone calls you bossy.",350,75,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1481509554i/9418327.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669957/ebooks/gsif4kasiv3wue180jpv.jpg
Is Everyone Hanging Out Without Me?,Mindy Kaling,Comedy,"Mindy Kaling has lived many lives: the obedient child of immigrant professionals, a timid chubster afraid of her own bike, a Ben Affleck - impersonating Off-Broadway performer and playwright, and, finally, a comedy writer and actress prone to starting fights with her friends and coworkers with the sentence ""Can I just say one last thing about this, and then I swear I'll shut up about it?""

Perhaps you want to know what Mindy thinks makes a great best friend (someone who will fill your prescription in the middle of the night), or what makes a great guy (one who is aware of all elderly people in any room at any time and acts accordingly), or what is the perfect amount of fame (so famous you can never get convicted of murder in a court of law), or how to maintain a trim figure (you will not find that information in these pages). If so, you've come to the right book, mostly!

In Is Everyone Hanging Out Without Me?, Mindy invites readers on a tour of her life and her unscientific observations on romance, friendship, and Hollywood, with several conveniently placed stopping points for you to run errands and make phone calls. Mindy Kaling really is just a Girl Next Door - not so much literally anywhere in the continental United States, but definitely if you live in India or Sri Lanka.",300,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1443264638i/10335308.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669959/ebooks/vmgfauzftd5lniv9vdfx.jpg
Why Not Me?,Mindy Kaling,Comedy,"From the author of the beloved New York Times bestselling book Is Everyone Hanging Out Without Me? and the creator and star of The Mindy Project comes a collection of essays that are as hilarious and insightful as they are deeply personal.

In Why Not Me?, Kaling shares her ongoing journey to find contentment and excitement in her adult life, whether it's falling in love at work, seeking new friendships in lonely places, attempting to be the first person in history to lose weight without any behavior modification whatsoever, or most important, believing that you have a place in Hollywood when you're constantly reminded that no one looks like you.
In ""How to Look Spectacular: A Starlet's Confessions"", Kaling gives her tongue-in-cheek secrets for surefire on-camera beauty, (""Your natural hair color may be appropriate for your skin tone, but this isn't the land of appropriate-this is Hollywood, baby. Out here, a dark-skinned woman s traditional hair color is honey blonde."") ""Player"" tells the story of Kaling being seduced and dumped by a female friend in L.A. (""I had been replaced by a younger model. And now they had matching bangs."") In ""Unlikely Leading Lady"", she muses on America's fixation with the weight of actresses, (""Most women we see onscreen are either so thin that they're walking clavicles or so huge that their only scenes involve them breaking furniture."") And in ""Soup Snakes"", Kaling spills some secrets on her relationship with her ex-boyfriend and close friend, B.J. Novak (""I will freely admit: my relationship with B.J. Novak is weird as hell."")
Mindy turns the anxieties, the glamour, and the celebrations of her second coming-of-age into a laugh-out-loud funny collection of essays that anyone who's ever been at a turning point in their life or career can relate to. And those who've never been at a turning point can skip to the parts where she talks about meeting Bradley Cooper.",200,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1473956249i/30268522.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669961/ebooks/ifxycmv3onag91felcxa.jpg
Yes Please,Amy Poehler,Comedy,"In Amy Poehler?s highly anticipated first book, Yes Please, she offers up a big juicy stew of personal stories, funny bits on sex and love and friendship and parenthood and real life advice (some useful, some not so much), like when to be funny and when to be serious. Powered by Amy?s charming and hilarious, biting yet wise voice, Yes Please is a book full of words to live by.",200,70,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1402815435i/20910157.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669962/ebooks/a0xlq0adao38dj7hsypp.jpg
The Other Black Girl,Zakiya Dalila Harris,Comedy,"Get Out meets The Stepford Wives in this electric debut about the tension that unfurls when two young Black women meet against the starkly white backdrop of New York City book publishing.

Twenty-six-year-old editorial assistant Nella Rogers is tired of being the only Black employee at Wagner Books. Fed up with the isolation and microaggressions, she?s thrilled when Harlem-born and bred Hazel starts working in the cubicle beside hers. They?ve only just started comparing natural hair care regimens, though, when a string of uncomfortable events elevates Hazel to Office Darling, and Nella is left in the dust.

Then the notes begin to appear on Nella?s desk: LEAVE WAGNER. NOW.

It?s hard to believe Hazel is behind these hostile messages. But as Nella starts to spiral and obsess over the sinister forces at play, she soon realizes that there?s a lot more at stake than just her career.

A whip-smart and dynamic thriller and sly social commentary that is perfect for anyone who has ever felt manipulated, threatened, or overlooked in the workplace, The Other Black Girl will keep you on the edge of your seat until the very last twist.",300,70,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1605823245i/55711688.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669966/ebooks/iz9z8lxyqbrzu1kfdbs6.jpg
Alpha Max: An Existential Romp through an Absurd Multiverse,Mark A. Rayner,Comedy,"????? ""Funny, yet deep, this is definitely worth venturing into the multiverse for.""Amazing Stories ""Snarky as Pratchet, insightful as Stephenson, as full of scathing social commentary as Swift or Voltaire, and weirdly reminiscent of LeGuin, Alpha Max is the only multiverse novel you need this month, or maybe ever.""Maximilian Tundra is about to have an existential crisis of cosmic proportions.

When a physical duplicate of him appears in his living room, wearing a tight-fitting silver lam‚ unitard and speaking with an English accent, Max knows something bad is about to happen. Bad doesn?t cover it. Max discovers he?s the only human being who can prevent the end of the world, and not just on his planet! In the multiverse, infinite Earths will be destroyed.

Personally, Max thinks the multiverse is in big trouble, because he can?t even keep his toenails clipped on the regular, let alone stop the apocalypse. His only ?allies? are a race of manic pixie aliens and dozens of other versions of himself; and let?s face it, both groups are annoying as heck!

From award-winning author Mark A. Rayner, Alpha Max is a silly and serious spoof of the science fiction and superhero movie trope of multiple realities. Fans of the humorous science fiction of Douglas Adams and the black humor and satire of Kurt Vonnegut will love this dark comedy that will make you think as well as laugh.

Early Reviews""Mark A. Rayner writes in gorgeous prose and has a unique gift for plot ... and creating characters that are rock-solid and relatable."" ?Matthew Novak, The Book Commentary

?????

""Rayner is brilliant! His writing is a strange and exhilarating mixture of the cerebral and the entertaining ... Alpha Max is a crazy and wild ride. I enjoyed it very much. ?Karen Molenaar Terrell, author of Cosmic Sharing the Joy

?????

""Not only is the story hilarious, but true to Mark Rayner's style, it makes crafty insights into such topics as gender identification among other issues that create a completely satisfying reading experience! Highly recommended."" ?Grady Harp, Amazon Top 100 Reviewer

?????

""Rayner's signature humor, absurdity, dark comedy, and satire, all wrapped into a great story."" ?Scott Fabirkiewicz, Reedsy Discover Reader

?????

""Funny, yet deep, this is definitely worth venturing into the multiverse for."" ?Nisha Ward, Reedsy Discovery",250,30,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630611267i/58913529.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669967/ebooks/tfxzvoztqnivx3gtxncl.jpg
Blowing up the Airwaves: An Adventure on the Radio,Chris Wright,Comedy,"The fictional Brad and Bone Morning Show is non-stop fun on the radio. But when Brad starts wanting more out of life, does the fun have to stop? It may not matter if they can?t find the mysterious listener who has explosive plans for the football stadium.

Blowing up the Airwaves is your backstage pass inside the studio and the personal lives of an over-the-top radio show. Are the people you hear every morning really the great friends they seem to be, or is it all an act? Sometimes they have to ask themselves that very question. Even after four hours of conversation five days a week for decades, the most important things can still be left unsaid. And that can cause more drama off mic than anything that happens on the air.

Strap yourself in for a wild ride. This roller coaster has everything from blackmail in the workplace to an exploding bass boat. A howler monkey and a giant catapult. A good ole boy who loves to blow stuff up. Even a Smokey and the Bandit style Trans-Am with an anatomically correct Firebird.

As radio consultants often tell their morning show teams, ""They like you because you make them laugh. They love you because you make them cry."" Brad and Bone will definitely have you laughing. If you cry a little, too... well, we won't tell anybody.",250,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1641923343i/60104604.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669969/ebooks/jfitgzox5y3uokmy2u0j.jpg
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,self-help,"No matter your goals, Atomic Habits offers a proven framework for improving?every day. James Clear, one of the world's leading experts on habit formation, reveals practical strategies that will teach you exactly how to form good habits, break bad ones, and master the tiny behaviors that lead to remarkable results.

If you're having trouble changing your habits, the problem isn't you. The problem is your system. Bad habits repeat themselves again and again not because you don't want to change, but because you have the wrong system for change. You do not rise to the level of your goals. You fall to the level of your systems. Here, you'll get a proven system that can take you to new heights.

Clear is known for his ability to distill complex topics into simple behaviors that can be easily applied to daily life and work. Here, he draws on the most proven ideas from biology, psychology, and neuroscience to create an easy-to-understand guide for making good habits inevitable and bad habits impossible. Along the way, readers will be inspired and entertained with true stories from Olympic gold medalists, award-winning artists, business leaders, life-saving physicians, and star comedians who have used the science of small habits to master their craft and vault to the top of their field.

Learn how to:
- Make time for new habits (even when life gets crazy);
- Overcome a lack of motivation and willpower;
- Design your environment to make success easier;
- Get back on track when you fall off course;
...and much more.

Atomic Habits will reshape the way you think about progress and success, and give you the tools and strategies you need to transform your habits--whether you are a team looking to win a championship, an organization hoping to redefine an industry, or simply an individual who wishes to quit smoking, lose weight, reduce stress, or achieve any other goal.",200,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1655988385i/40121378.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669970/ebooks/vsqaz0humnhf3nmeiwef.jpg
How to Win Friends and Influence People,Dale Carnegie,self-help,"You can go after the job you want...and get it! You can take the job you have...and improve it! You can take any situation you're in...and make it work for you!

Since its release in 1936, How to Win Friends and Influence People has sold more than 30 million copies. Dale Carnegie's first book is a timeless bestseller, packed with rock-solid advice that has carried thousands of now famous people up the ladder of success in their business and personal lives.

As relevant as ever before, Dale Carnegie's principles endure, and will help you achieve your maximum potential in the complex and competitive modern age.

Learn the six ways to make people like you, the twelve ways to win people to your way of thinking, and the nine ways to change people without arousing resentment.",300,15,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1442726934i/4865.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669972/ebooks/ea4kiq5cipmopxsm8anu.jpg
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,"Stephen R. Covey,
Jim Collins
 ",self-help,"In The 7 Habits of Highly Effective People, author Stephen R. Covey presents a holistic, integrated, principle-centered approach for solving personal and professional problems. With penetrating insights and pointed anecdotes, Covey reveals a step-by-step pathway for living with fairness, integrity, service, and human dignity--principles that give us the security to adapt to change and the wisdom and power to take advantage of the opportunities that change creates.",400,45,https://m.media-amazon.com/images/I/71rmHeQeuRL._SL1255_.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669974/ebooks/cdb6kyilytkp5unrxwwg.jpg
The Power of Habit: Why We Do What We Do in Life and Business,Charles Duhigg,self-help,"A young woman walks into a laboratory. Over the past two years, she has transformed almost every aspect of her life. She has quit smoking, run a marathon, and been promoted at work. The patterns inside her brain, neurologists discover, have fundamentally changed.

Marketers at Procter & Gamble study videos of people making their beds. They are desperately trying to figure out how to sell a new product called Febreze, on track to be one of the biggest flops in company history. Suddenly, one of them detects a nearly imperceptible pattern?and with a slight shift in advertising, Febreze goes on to earn a billion dollars a year.

An untested CEO takes over one of the largest companies in America. His first order of business is attacking a single pattern among his employees?how they approach worker safety?and soon the firm, Alcoa, becomes the top performer in the Dow Jones.

What do all these people have in common? They achieved success by focusing on the patterns that shape every aspect of our lives.

They succeeded by transforming habits.

In The Power of Habit, award-winning New York Times business reporter Charles Duhigg takes us to the thrilling edge of scientific discoveries that explain why habits exist and how they can be changed. With penetrating intelligence and an ability to distill vast amounts of information into engrossing narratives, Duhigg brings to life a whole new understanding of human nature and its potential for transformation.

Along the way we learn why some people and companies struggle to change, despite years of trying, while others seem to remake themselves overnight. We visit laboratories where neuroscientists explore how habits work and where, exactly, they reside in our brains. We discover how the right habits were crucial to the success of Olympic swimmer Michael Phelps, Starbucks CEO Howard Schultz, and civil-rights hero Martin Luther King, Jr. We go inside Procter & Gamble, Target superstores, Rick Warren?s Saddleback Church, NFL locker rooms, and the nation?s largest hospitals and see how implementing so-called keystone habits can earn billions and mean the difference between failure and success, life and death.

At its core, The Power of Habit contains an exhilarating argument: The key to exercising regularly, losing weight, raising exceptional children, becoming more productive, building revolutionary companies and social movements, and achieving success is understanding how habits work.

Habits aren?t destiny. As Charles Duhigg shows, by harnessing this new science, we can transform our businesses, our communities, and our lives.",250,25,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1545854312i/12609433.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669975/ebooks/pe7w56kdluhecehhwrri.jpg
12 Rules for Life: An Antidote to Chaos, Jordan Peterson,self-help,"Acclaimed clinical psychologist Jordan Peterson has influenced the modern understanding of personality, and now he has become one of the world's most popular public thinkers, with his lectures on topics from the Bible to romantic relationships to mythology drawing tens of millions of viewers. In an era of unprecedented change and polarizing politics, his frank and refreshing message about the value of individual responsibility and ancient wisdom has resonated around the world.

In this book, he provides twelve profound and practical principles for how to live a meaningful life, from setting your house in order before criticising others to comparing yourself to who you were yesterday, not someone else today. Happiness is a pointless goal, he shows us. Instead we must search for meaning, not for its own sake, but as a defence against the suffering that is intrinsic to our existence.

Drawing on vivid examples from the author's clinical practice and personal life, cutting edge psychology and philosophy, and lessons from humanity's oldest myths and stories, 12 Rules for Life offers a deeply rewarding antidote to the chaos in our lives: eternal truths applied to our modern problems.",350,70,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1512705866i/30257963.jpg,https://res.cloudinary.com/dyzgdedd4/image/upload/v1726669976/ebooks/t0qbjooxdbfagke6z5kt.jpg
